employee_id,name,nationality,department,job_title,salary,age,years_of_experience,performance_score,manager_rating,attrition,join_date
38,Mary Roberts,Bangladeshi,Marketing,Marketing Executive,22470.7,49,19,1.51,2.23,0,2007-05-03
39,Jose Alvarez,Filipino,Operations,Operations Analyst,8467.05,57,22,4.54,2.63,0,2004-03-05
40,Joseph Figueroa,Egyptian,IT,IT Support,10016.24,43,14,4.13,2.65,0,2012-01-15
41,Roberto Landry,Filipino,HR,HR Manager,31420.67,52,13,1.89,4.27,0,2012-12-16
42,Dr. Joshua Rodgers DVM,Jordanian,Finance,CFO,15145.8,43,22,2.11,1.28,0,2003-11-26
43,Matthew Greene,Emirati,Logistics,Logistics Coordinator,26663.22,29,11,4.51,2.04,0,2015-01-06
44,Colleen Sanford,Filipino,Management,Director,37469.66,42,14,2.75,4.94,1,2011-07-31
45,Alan Chang,Filipino,Finance,Finance Manager,24134.13,55,23,4.7,3.15,0,2002-06-15
46,Cathy Brown,Jordanian,Legal,Compliance Manager,52699.35,43,3,3.49,3.65,1,2022-12-17
47,Aaron Rhodes,Pakistani,Legal,Legal Counsel,28108.02,40,11,3.22,1.77,0,2014-11-08
48,Virginia Bridges,Bangladeshi,Management,VP,41394.89,22,10,2.22,1.84,0,2015-07-15
49,Ashley Oliver,Indian,Customer Service,CS Supervisor,15134.41,54,15,2.89,4.6,0,2011-02-25
50,Amy Yates,Filipino,Logistics,Logistics Coordinator,19924.7,43,22,1.37,4.81,1,2003-12-17
51,Mary Rojas,Lebanese,IT,IT Support,10894.76,52,1,3.45,4.07,0,2024-06-30
52,Larry Ray,British,Legal,Legal Officer,27984.38,31,16,3.62,1.02,0,2010-03-29
53,Kristen Jordan,American,IT,Data Analyst,30236.27,25,23,3.23,4.67,1,2003-03-17
54,Anita Skinner,American,Customer Service,CS Supervisor,17225.1,54,20,2.71,4.63,0,2006-03-03
55,Lawrence Brewer,American,Sales,Sales Executive,15158.91,39,25,4.06,3.09,0,2001-01-04
56,Thomas Kirk,Pakistani,Sales,Account Manager,15966.6,42,8,4.57,1.32,1,2017-11-05
57,Tanya Holland,British,Operations,Coordinator,15956.83,43,3,3.17,2.66,0,2022-10-16
58,Whitney Rowe,Jordanian,Finance,Accountant,29300.54,52,25,1.02,2.41,0,2000-10-22
59,Craig Tyler,Pakistani,Customer Service,CS Supervisor,9094.03,53,8,1.12,2.34,0,2017-10-25
60,Ms. Lisa Cook,Pakistani,IT,IT Manager,30899.07,47,20,3.37,3.65,1,2005-10-16
61,Kirsten Brown,Egyptian,IT,IT Manager,19666.41,42,2,1.85,2.31,0,2023-11-06
62,Martin Ortiz,Emirati,Sales,Sales Executive,22520.13,56,3,1.21,4.81,1,2023-04-14
63,Michelle Cannon,American,Operations,Coordinator,26141.49,31,7,1.95,2.89,1,2019-01-29
64,Sabrina Schaefer,Egyptian,Sales,Sales Executive,19173.54,60,25,3.43,3.99,1,2001-03-02
65,Heather Ellis,Indian,Management,General Manager,75377.67,58,1,3.71,4.83,0,2025-02-06
66,Manuel Richards,Bangladeshi,HR,HR Director,28629.46,60,23,4.22,4.18,0,2003-05-03
67,Heather Wilson,Bangladeshi,Marketing,Digital Marketer,21166.9,43,3,1.05,2.68,0,2022-10-10
68,Bernard Travis,American,Customer Service,CS Supervisor,7294.87,33,23,3.94,4.86,1,2002-08-22
69,Michael Arnold,Filipino,Legal,Compliance Manager,36661.36,42,24,4.41,4.32,1,2001-10-06
70,Travis Morris,Bangladeshi,Management,Director,58432.25,43,20,1.11,4.4,1,2006-02-04
71,David Jones,British,Marketing,Brand Manager,31648.96,39,9,3.22,3.07,0,2017-01-17
72,Anthony Butler,Egyptian,Logistics,Logistics Coordinator,11287.13,52,25,3.58,2.96,0,2001-04-07
73,Jordan Fox,Bangladeshi,Legal,Compliance Manager,20948.73,59,23,2.48,3.21,1,2002-08-16
74,Melissa Tran,Pakistani,Customer Service,CS Representative,9599.34,36,9,1.48,1.77,1,2016-08-19
75,Michael Harmon,Filipino,Operations,Operations Manager,17620.77,59,24,4.91,3.1,0,2002-04-03
76,Brian Hamilton,Jordanian,Operations,Operations Manager,10306.6,22,12,3.83,1.51,1,2014-04-24
77,Tiffany Chavez,American,IT,Data Analyst,44606.91,53,21,1.41,1.05,1,2004-09-20
78,Diana Greene,Emirati,IT,IT Support,19351.61,52,2,1.46,1.26,1,2023-07-28
79,Bernard Miller,Lebanese,IT,IT Support,47914.15,27,19,4.98,1.47,0,2006-07-17
80,Sharon Green,Lebanese,Logistics,Logistics Coordinator,15911.32,50,13,2.19,3.35,0,2012-08-03
81,Marissa Mckenzie,Pakistani,Management,Team Lead,21450.18,35,24,3.5,2.06,1,2002-01-22
82,Patricia Best,American,IT,Software Engineer,25749.22,60,1,2.88,1.13,0,2024-12-25
83,Caroline Nunez,Filipino,Operations,Coordinator,24907.87,59,9,3.64,4.73,0,2016-08-15
84,John Jackson MD,Egyptian,IT,IT Manager,42891.88,26,9,1.24,4.17,0,2016-08-02
85,Amber Lawrence,Lebanese,HR,HR Officer,26282.98,47,15,4.77,3.0,0,2011-04-11
86,Leslie Chavez,Lebanese,Legal,Legal Officer,24504.47,38,24,1.1,1.92,0,2001-08-03
87,Andrea Taylor,Lebanese,Sales,Sales Manager,8327.65,33,19,2.88,3.61,0,2007-02-20
88,Beth Cox,British,Customer Service,CS Manager,12050.16,48,3,2.33,3.68,0,2022-12-02
89,Alan Ewing,Egyptian,Customer Service,CS Supervisor,14938.75,47,10,4.25,3.2,0,2015-12-11
90,Meghan Sullivan,British,HR,HR Officer,18316.9,54,25,4.3,1.0,0,2000-09-30
91,Julie Dorsey,Pakistani,Operations,Operations Manager,14682.7,53,17,3.5,4.04,0,2008-08-14
92,Brandon Franklin,Egyptian,Customer Service,CS Manager,12270.68,23,23,4.89,3.44,0,2003-03-04
93,Connor Malone,Pakistani,Finance,CFO,23095.66,36,18,4.97,4.65,0,2008-03-23
94,Sara Parks,Pakistani,Sales,Sales Manager,30278.58,48,17,4.34,4.92,0,2008-08-13
95,Sabrina Wilson,Bangladeshi,Operations,Coordinator,18197.78,30,20,4.46,2.1,0,2005-10-23
96,Samuel Clarke,American,Sales,Account Manager,16333.69,41,1,4.35,3.32,0,2025-03-03
97,Melissa Gutierrez,Filipino,Customer Service,CS Manager,9986.6,56,12,2.51,4.73,0,2013-05-29
98,Andres Hicks,British,Legal,Legal Counsel,48520.58,48,8,1.17,3.98,0,2017-11-06
99,Sarah Gibbs,Indian,IT,IT Manager,48557.8,30,16,3.01,3.36,0,2009-10-09
100,Tara Houston,British,Finance,Financial Analyst,13333.75,31,24,1.3,4.13,1,2001-07-09
101,Benjamin Anderson,Jordanian,Marketing,Marketing Executive,31061.58,46,22,4.82,3.51,0,2003-09-17
102,Justin Mcdonald,Indian,Management,VP,30260.07,40,3,4.99,3.99,0,2023-03-30
103,Dana Walker,British,IT,IT Support,21278.11,23,23,1.18,4.18,1,2002-11-14
104,Patricia Barnes,Filipino,Operations,Operations Manager,15889.24,33,17,1.68,1.32,0,2008-07-09
105,Caleb Glover,Egyptian,Management,General Manager,30092.25,38,5,2.84,3.67,0,2020-09-23
106,Lawrence Mcdonald,Egyptian,HR,HR Manager,33466.6,59,15,2.2,4.85,0,2010-10-01
107,Autumn Stone,Emirati,Legal,Legal Counsel,14799.4,46,16,3.29,3.3,0,2009-12-22
108,Gregory Taylor,Filipino,Legal,Legal Counsel,10364.41,25,9,4.64,3.98,0,2016-12-25
109,Matthew Hogan,Indian,Marketing,Digital Marketer,24825.3,38,8,3.71,3.88,0,2018-03-11
110,Valerie Phillips,Bangladeshi,Finance,CFO,37178.59,24,10,3.32,3.93,1,2015-12-21
111,Jon Taylor,Pakistani,IT,Data Analyst,14418.55,56,7,4.51,2.46,0,2019-01-01
112,Kim Torres,British,Customer Service,CS Manager,16198.39,43,10,4.22,2.87,1,2016-01-26
113,Sarah Mcguire,Egyptian,Marketing,Digital Marketer,29139.1,22,3,2.06,1.49,1,2022-06-09
114,Daniel Mann,Bangladeshi,Legal,Legal Counsel,52313.14,28,21,3.7,2.89,0,2004-08-09
115,Peter Walters,Emirati,Operations,Operations Analyst,7517.21,51,21,4.64,2.21,1,2005-03-13
116,Matthew Burton,Jordanian,Sales,Sales Manager,10831.98,37,16,4.55,1.54,0,2009-06-13
117,Timothy Mccoy,Emirati,Management,Director,62228.94,48,24,3.62,4.33,0,2002-01-01
118,Nicholas Garrison,Bangladeshi,Operations,Operations Analyst,16672.7,37,15,4.42,1.4,0,2010-08-17
119,Bradley Morgan,Lebanese,Legal,Legal Officer,18541.39,29,9,4.8,4.3,1,2017-02-01
120,Jennifer Johnson DDS,Filipino,Finance,Accountant,17012.05,30,11,4.15,1.82,0,2014-08-11
121,Stacy Myers,Jordanian,Operations,Operations Manager,24584.85,60,11,1.01,4.43,1,2015-03-16
122,Eric Smith,Bangladeshi,IT,Software Engineer,36103.36,23,4,1.53,2.43,0,2021-07-22
123,Melanie Bridges,Jordanian,IT,Software Engineer,11148.36,48,9,3.1,3.98,0,2016-11-16
124,James Phillips,American,Customer Service,CS Manager,8323.25,24,17,3.91,4.64,0,2008-12-19
125,Kendra Gomez,Indian,Finance,Financial Analyst,44947.71,47,2,2.71,1.43,0,2023-10-04
126,Kiara Fisher,British,Marketing,Digital Marketer,11153.35,30,20,2.1,3.53,0,2005-12-08
127,Drew Johnson,Jordanian,Logistics,Warehouse Manager,15981.74,60,10,2.72,4.17,1,2015-06-20
128,Robert Kennedy,Bangladeshi,Operations,Operations Manager,16837.32,36,14,2.66,4.31,0,2012-04-03
129,Jennifer Farmer,Indian,Marketing,Brand Manager,14136.91,31,22,3.75,2.9,1,2004-04-10
130,Cody Brown,Indian,HR,HR Director,27686.29,30,24,3.23,3.35,0,2001-12-07
131,Melanie Cruz,Egyptian,Marketing,Brand Manager,33351.64,49,22,4.47,3.88,0,2003-07-21
132,Jesse Brown,Bangladeshi,HR,HR Officer,21207.55,31,19,3.63,1.9,1,2006-08-12
133,Misty Clements,Jordanian,Sales,Sales Executive,14463.25,49,19,4.38,4.9,0,2006-07-13
134,Amy Robinson,Bangladeshi,Management,Team Lead,68914.95,39,22,1.12,2.09,0,2003-12-02
135,Jorge Stewart,Jordanian,IT,IT Support,32219.16,47,5,1.28,3.96,0,2021-04-03
136,Philip Woodward,Lebanese,Legal,Legal Officer,30414.06,32,14,2.48,3.89,0,2011-08-05
137,Carla Wagner,Lebanese,Finance,CFO,13824.17,25,5,3.7,2.09,0,2020-09-13
138,Emily Smith,Lebanese,Legal,Compliance Manager,19700.6,54,9,1.46,2.72,1,2016-06-07
139,Sharon Hughes,Filipino,Logistics,Logistics Coordinator,12785.23,36,22,2.58,3.4,1,2003-12-21
140,Jeffrey Herrera,Filipino,Sales,Account Manager,17828.04,22,10,2.99,2.72,1,2015-08-22
141,Peter Robinson,Indian,Logistics,Supply Chain Analyst,23736.4,26,22,2.59,3.97,0,2003-10-01
142,Elijah Schultz,Lebanese,Management,VP,52270.98,48,14,2.16,2.62,0,2012-02-24
143,Marcia Luna,Egyptian,Marketing,Digital Marketer,19227.93,28,3,1.97,3.36,0,2022-10-29
144,Cassandra Weiss,Bangladeshi,Marketing,Brand Manager,16325.92,32,8,1.31,3.53,0,2018-02-10
145,Steve Schultz,Indian,IT,IT Support,13214.99,38,8,1.79,3.41,0,2017-06-19
146,Olivia Ritter,Lebanese,Customer Service,CS Supervisor,16316.69,59,15,2.8,4.7,0,2010-07-01
147,Tracy Garcia,Bangladeshi,Marketing,Digital Marketer,19313.36,52,5,2.77,2.21,0,2021-04-21
148,Daniel Williams,Lebanese,HR,HR Director,19928.79,24,10,1.23,4.33,1,2016-04-04
149,Cory Norris,Lebanese,Customer Service,CS Supervisor,13314.75,24,19,2.8,4.24,0,2006-12-10
150,Paula White,Indian,Logistics,Warehouse Manager,27069.89,50,5,1.41,4.6,0,2020-05-19
151,Michael Diaz,Bangladeshi,IT,Data Analyst,19157.49,50,2,4.96,3.1,0,2023-11-14
152,Jose Cline,Indian,Legal,Legal Counsel,44850.92,60,14,1.21,3.52,0,2011-12-05
153,Theresa Wood,Bangladeshi,Legal,Compliance Manager,21339.81,60,10,4.49,2.33,0,2016-03-09
154,Nicholas Vazquez,Jordanian,Legal,Legal Officer,36776.86,27,5,2.24,2.51,0,2021-03-15
155,Michelle Calderon,Filipino,Legal,Legal Officer,26282.26,45,17,2.24,4.8,0,2008-09-16
156,Charles Ruiz,Emirati,IT,Data Analyst,12163.77,28,5,3.03,3.16,0,2020-08-23
157,Glenda Morris,American,Management,Team Lead,53821.02,31,5,1.65,4.33,0,2021-02-24
158,James Henry,Filipino,Legal,Legal Counsel,40436.33,37,12,4.88,3.44,0,2013-10-04
159,Nathan Tate,American,Operations,Operations Manager,29174.32,52,10,4.62,1.78,0,2015-08-02
160,Tracy Wagner,Pakistani,Sales,Sales Manager,19601.79,55,25,2.67,1.65,1,2000-07-19
161,Samantha Perkins,Egyptian,Finance,Financial Analyst,25781.85,45,21,3.22,1.41,0,2005-03-21
162,Joshua Perez,American,IT,Data Analyst,27422.09,54,9,1.59,2.75,0,2017-01-27
163,Stacey Smith,Emirati,Finance,Finance Manager,9970.5,54,14,2.5,2.54,1,2012-01-28
164,Deborah Ford,Pakistani,HR,HR Director,25198.9,31,23,1.55,2.15,0,2002-06-02
165,James Hopkins,Jordanian,Customer Service,CS Supervisor,5078.77,27,20,1.08,1.86,1,2005-07-16
166,Jonathan Lee,American,HR,HR Officer,15066.84,41,25,1.49,1.95,0,2000-07-10
167,Kelly Mcguire,British,HR,HR Officer,23708.69,23,16,3.53,3.3,0,2009-12-24
168,Stacy Smith,Indian,Management,Team Lead,30636.68,48,12,1.75,3.67,0,2013-11-18
169,Andrew Patrick,Bangladeshi,Legal,Legal Officer,11959.05,46,16,4.92,2.01,1,2010-04-18
170,Jason Daniel,Pakistani,HR,HR Director,23293.29,43,25,1.53,2.41,1,2000-06-29
171,Alexandria Boyer,Filipino,Customer Service,CS Representative,7734.17,30,21,1.25,4.1,1,2004-12-24
172,Victor Morrison,Emirati,Operations,Coordinator,13574.3,41,2,3.06,4.96,0,2024-01-10
173,David Jones,British,Operations,Operations Manager,14567.38,25,10,4.46,2.33,1,2015-11-14
174,Rebecca Martinez,Egyptian,Customer Service,CS Representative,10085.55,33,13,2.98,2.99,0,2012-08-29
175,Ms. Jennifer Clarke,Egyptian,Legal,Compliance Manager,29377.32,33,3,3.18,2.28,1,2022-06-15
176,Elizabeth Myers,Lebanese,Customer Service,CS Supervisor,15764.94,32,20,3.76,2.41,1,2005-11-24
177,Timothy Fuentes,Pakistani,Sales,Sales Executive,39340.9,25,21,1.3,3.55,0,2004-06-10
178,Lisa Johnson,Bangladeshi,IT,IT Manager,36801.64,50,20,1.14,1.27,0,2005-11-17
179,Juan Schmidt,Pakistani,Management,Director,54331.16,50,2,4.8,2.49,0,2023-07-30
180,Elizabeth Gray,British,Legal,Legal Counsel,39230.23,37,11,4.84,1.1,1,2014-08-29
181,Angela Watson,Filipino,HR,HR Officer,28699.01,50,9,1.86,3.45,0,2016-09-11
182,James Hall,Bangladeshi,IT,Software Engineer,27533.75,50,3,4.99,4.24,0,2022-12-07
183,Tanya Hernandez,Pakistani,Logistics,Supply Chain Analyst,12387.97,41,18,4.41,3.85,0,2007-07-01
184,Scott Smith,Jordanian,Logistics,Warehouse Manager,8669.97,34,8,4.17,1.95,0,2017-11-17
185,Edwin Morgan,American,Marketing,Digital Marketer,29502.53,57,15,1.52,4.54,1,2010-10-31
186,James Phillips,American,Legal,Legal Counsel,28424.51,58,25,1.3,4.89,0,2000-10-06
187,Willie Obrien,Jordanian,Logistics,Logistics Coordinator,8823.36,57,12,3.56,1.73,0,2013-10-12
188,Vicki Sharp,Egyptian,HR,HR Officer,11284.43,32,17,1.65,4.74,1,2008-08-30
189,Scott Barnett,Jordanian,Sales,Account Manager,27956.88,57,7,2.1,3.5,0,2019-04-03
190,Robin Jones,Lebanese,IT,Software Engineer,47605.89,31,19,1.68,3.5,0,2006-12-02
191,Matthew Brown,Emirati,Finance,CFO,9682.09,58,3,2.06,1.84,1,2022-07-07
192,Alex Cantrell,American,Logistics,Logistics Coordinator,20121.96,41,10,2.93,4.22,0,2015-12-20
193,Emily Jenkins,Bangladeshi,Finance,CFO,24265.4,52,6,2.86,2.36,1,2019-12-08
194,Meghan Parker,Filipino,IT,IT Support,24192.15,57,25,1.42,1.97,1,2000-10-06
195,Bianca Noble,Bangladeshi,HR,Recruiter,15125.94,46,2,4.46,2.67,0,2024-02-27
196,Stephanie Clay,British,Operations,Coordinator,9824.22,54,25,2.87,4.52,0,2001-04-08
197,Brittany Wolfe,American,Customer Service,CS Supervisor,8227.17,44,8,1.19,2.13,1,2017-06-20
198,Susan Chase,Bangladeshi,Logistics,Logistics Coordinator,24637.79,49,1,1.54,2.06,1,2024-10-24
199,Nicholas Parsons MD,Jordanian,Legal,Compliance Manager,35662.67,34,2,2.45,2.15,1,2023-10-01
200,Kevin Hoover,Jordanian,Management,Director,54717.8,30,22,4.9,2.58,0,2003-12-02
201,Michael Arnold,American,IT,IT Manager,33700.98,47,7,3.0,1.18,1,2018-12-01
202,Matthew Chen,Egyptian,IT,Data Analyst,45618.4,30,20,2.31,3.45,1,2005-07-12
203,Danielle Flores,Indian,Logistics,Supply Chain Analyst,17711.48,58,17,2.2,4.26,0,2008-06-12
204,Anna Hall,Lebanese,Management,General Manager,66789.06,23,10,3.39,2.06,0,2015-07-29
205,Frederick Foster,Filipino,Finance,Financial Analyst,25776.6,55,19,3.52,3.48,0,2007-03-09
206,Edward Murphy,British,Management,VP,22143.21,23,23,2.76,2.68,0,2003-02-09
207,Justin Young,Bangladeshi,Finance,Accountant,13109.05,35,23,3.24,4.99,0,2002-11-13
208,Andrew Tyler,Egyptian,Customer Service,CS Manager,10134.91,44,18,3.7,4.47,0,2007-06-03
209,Erica Miller,Egyptian,Customer Service,CS Manager,19360.06,39,7,3.23,1.9,0,2018-12-19
210,Monica Ayers,Egyptian,Operations,Operations Analyst,22919.72,42,23,2.92,3.24,0,2003-01-04
211,Kimberly Martin,Emirati,Management,Director,50307.41,47,22,4.27,4.82,0,2003-12-27
212,Peter Fleming,Jordanian,HR,Recruiter,32872.27,38,12,3.99,1.86,0,2014-01-03
213,Tammy Barton,Filipino,IT,Software Engineer,34242.76,59,4,1.96,1.2,0,2022-01-24
214,Rebecca Moore,Pakistani,HR,HR Director,16248.22,52,14,1.4,4.08,1,2011-08-14
215,John Gonzalez,Lebanese,Customer Service,CS Representative,14758.08,40,16,2.28,3.58,0,2010-04-07
216,Christine Martin,Emirati,Logistics,Supply Chain Analyst,21908.59,24,24,4.65,1.7,0,2002-02-23
217,William Banks,Bangladeshi,Customer Service,CS Supervisor,19049.13,40,6,4.51,1.04,0,2020-03-26
218,Robert Larsen,Filipino,Customer Service,CS Representative,13149.51,53,21,4.56,1.54,0,2005-01-04
219,Michael Cook,Lebanese,Marketing,Digital Marketer,27471.34,38,6,3.87,1.06,0,2019-12-20
220,Anna Johnson,Indian,Operations,Operations Analyst,20662.91,47,6,4.31,3.06,1,2019-06-12
221,Laurie Mathis,Bangladeshi,IT,Data Analyst,22267.67,37,16,1.03,2.53,0,2010-01-06
222,Brendan Spencer,American,Management,Director,52237.03,38,24,3.61,3.77,1,2002-03-25
223,Nathan Riley,Lebanese,IT,IT Support,37129.02,41,13,3.76,3.55,0,2012-11-14
224,Regina Ferguson,American,Operations,Coordinator,17476.37,51,5,3.99,3.42,0,2020-08-11
225,Jillian Luna,Bangladeshi,Operations,Operations Analyst,11939.17,60,25,4.49,1.33,1,2000-05-29
226,John Brown,Bangladeshi,Management,VP,19014.27,57,4,4.61,1.81,0,2022-02-24
227,Jacob Harvey,American,HR,HR Manager,12751.24,59,22,2.96,4.6,0,2004-04-25
228,Melissa Foley,British,Logistics,Supply Chain Analyst,16049.57,25,14,3.24,3.69,0,2012-05-10
229,Paul Smith,Indian,Finance,CFO,16062.35,26,24,1.18,2.38,1,2002-04-24
230,Tammy Tran,Bangladeshi,Finance,CFO,23128.08,30,10,4.06,4.91,0,2015-10-18
231,Kelsey Washington,British,Customer Service,CS Manager,10634.68,56,13,1.53,4.44,1,2012-08-19
232,Christopher Jackson,British,IT,IT Manager,49127.7,22,24,4.02,4.91,0,2001-08-19
233,Patricia Clark,Emirati,Operations,Coordinator,17055.01,31,8,2.1,4.75,0,2018-03-24
234,Amanda Johnson,Lebanese,Legal,Legal Counsel,44472.41,23,20,1.96,1.27,0,2005-10-07
235,Bradley Ramirez,Pakistani,Finance,Finance Manager,35400.02,47,8,2.76,3.16,0,2018-04-22
236,Joan Scott,Pakistani,Operations,Coordinator,19826.65,58,24,3.39,3.69,0,2001-12-21
237,Sonya Davis,British,Logistics,Warehouse Manager,15098.32,39,8,1.24,4.79,0,2018-02-20
238,James Parks,Egyptian,Customer Service,CS Supervisor,19584.35,46,2,4.14,2.27,0,2024-03-03
239,Courtney Taylor,Emirati,IT,IT Manager,31055.06,37,25,4.4,2.2,0,2000-09-29
240,Bryan Turner,Bangladeshi,Legal,Legal Officer,33849.63,46,18,1.97,1.81,0,2007-10-05
241,Anthony Stevenson,Filipino,Logistics,Warehouse Manager,24246.94,25,24,2.07,3.69,0,2002-04-17
242,Anthony Davis,Indian,Logistics,Warehouse Manager,16546.67,43,7,2.21,4.64,1,2019-02-12
243,Robyn Hill,British,Customer Service,CS Supervisor,15434.39,35,8,2.59,1.96,0,2017-12-27
244,John Taylor,Bangladeshi,Logistics,Logistics Coordinator,13903.71,38,21,2.44,4.53,0,2004-09-25
245,Kristen Poole,Lebanese,Marketing,Digital Marketer,18590.04,58,11,4.46,3.97,1,2014-08-11
246,Melissa Graham,Bangladeshi,Legal,Compliance Manager,16858.51,43,10,1.92,3.28,1,2015-08-13
247,Crystal Flowers,Jordanian,Customer Service,CS Supervisor,14625.42,53,24,2.84,3.93,0,2002-03-14
248,David Humphrey,Emirati,IT,Software Engineer,49603.27,25,18,3.1,4.36,1,2007-06-15
249,Wendy Haynes,Bangladeshi,Legal,Legal Officer,47914.51,36,5,1.27,1.6,1,2020-09-28
250,Margaret Levy,Emirati,Management,Team Lead,58339.06,52,21,3.64,1.06,0,2004-10-25
251,Felicia Woods,Indian,Logistics,Logistics Coordinator,12044.3,40,24,1.07,4.25,0,2002-02-22
252,Andrew Keller,Bangladeshi,Logistics,Supply Chain Analyst,11301.31,55,5,2.01,2.42,0,2021-04-09
253,Cheryl Perkins,Emirati,Customer Service,CS Representative,8648.12,36,19,2.2,4.31,1,2006-06-25
254,Traci Schmidt DVM,British,Legal,Legal Counsel,26972.63,52,13,1.22,1.04,1,2012-09-08
255,Stephanie Sanders,Lebanese,Marketing,Brand Manager,34365.22,28,19,4.58,4.68,0,2006-06-03
256,Jose Delacruz,Emirati,Sales,Sales Executive,37497.26,39,2,4.6,3.25,1,2023-12-09
257,Anthony Pollard,British,Management,Director,63896.54,47,5,4.72,2.2,0,2020-08-02
258,Joseph Odonnell,Filipino,Legal,Legal Officer,43288.53,27,25,3.0,4.9,1,2000-10-13
259,Angela Gregory,American,Marketing,Brand Manager,28532.16,60,20,2.59,4.09,1,2006-01-04
260,Amanda Graves,Lebanese,Operations,Operations Manager,19272.91,46,12,2.73,3.72,0,2014-04-08
261,Tammy Davis,Bangladeshi,Operations,Operations Manager,7764.16,39,23,1.62,3.85,0,2002-11-06
262,Jonathan Greene,Pakistani,HR,HR Director,7145.47,41,3,2.78,4.05,1,2023-04-05
263,Justin Smith,Lebanese,Customer Service,CS Supervisor,13321.1,48,18,1.41,1.36,0,2007-07-22
264,Amy Brooks,Lebanese,Legal,Legal Counsel,23133.13,46,1,4.12,3.9,0,2025-01-14
